,month,province,quarter_x,year,totalcases,numdeaths,population,quarter_y,numtotal_atleast1dose,numtotal_fully,quarter,vaccination_score_atleast1dose,vaccination_score_fully
409,3,Yukon,1,2021,73,1,,,23028.0,10760.0,1.0,,
410,4,Yukon,2,2021,80,1,42719.0,2.0,24817.0,21527.0,2.0,0.5809358833306023,0.5039209719328636
411,5,Yukon,2,2021,84,2,,,27042.0,24149.0,2.0,,
412,6,Yukon,2,2021,264,4,,,30432.0,26660.0,2.0,,
413,7,Yukon,3,2021,596,7,43250.0,3.0,31869.0,29571.0,3.0,0.7368554913294798,0.6837225433526012
414,8,Yukon,3,2021,684,8,,,32419.0,30628.0,3.0,,
415,9,Yukon,3,2021,747,9,,,32699.0,31159.0,3.0,,
416,10,Yukon,4,2021,923,10,43373.0,4.0,33328.0,31797.0,4.0,0.7684043068268277,0.733105849261061
417,11,Yukon,4,2021,1486,13,,,33892.0,32312.0,4.0,,
418,12,Yukon,4,2021,1668,14,,,35825.0,32811.0,4.0,,
419,1,Yukon,1,2022,3076,16,43241.0,1.0,36341.0,33356.0,1.0,0.840429222265905,0.7713975162461553
420,2,Yukon,1,2022,3438,21,,,36501.0,34612.0,1.0,,
421,3,Yukon,1,2022,3737,24,,,36538.0,34996.0,1.0,,
422,4,Yukon,2,2022,4203,25,43518.0,2.0,36571.0,35176.0,2.0,0.8403649064754815,0.8083092053862769
423,5,Yukon,2,2022,4381,26,,,36640.0,35308.0,2.0,,
424,6,Yukon,2,2022,4456,26,,,36658.0,35388.0,2.0,,
425,7,Yukon,3,2022,4682,26,43789.0,3.0,36677.0,35451.0,3.0,0.8375847815661468,0.8095868825504122
426,8,Yukon,3,2022,4817,30,,,36651.0,35440.0,3.0,,
427,9,Yukon,3,2022,4891,31,,,36851.0,35517.0,3.0,,
428,10,Yukon,4,2022,4954,32,,,36884.0,35567.0,4.0,,
429,11,Yukon,4,2022,4974,32,,,37018.0,35664.0,4.0,,
