,province,quarter,year,totalcases,numdeaths,population,numtotal_atleast1dose,numtotal_fully,vaccination_score_atleast1dose,vaccination_score_fully
69,Northwest Territories,2,2022,11508,22,45698.0,35159.0,33706.0,0.7693772156330693,0.7375815134141538
70,Nova Scotia,1,2020,102,0,977498.0,,,,
71,Nova Scotia,2,2020,1061,63,979075.0,,,,
72,Nova Scotia,3,2020,1087,65,981691.0,,,,
73,Nova Scotia,4,2020,1469,65,981266.0,2218.0,0.0,0.002260345309019165,0.0
74,Nova Scotia,1,2021,1705,66,981793.0,64681.0,24294.0,0.06588048600876152,0.0247445235400945
75,Nova Scotia,2,2021,5820,91,985238.0,698309.0,168241.0,0.708771890649772,0.17076178547721466
76,Nova Scotia,3,2021,6511,95,991117.0,778358.0,721789.0,0.7853341230147399,0.7282581168519963
77,Nova Scotia,4,2021,14301,111,998387.0,868894.0,803331.0,0.8702977903358117,0.804628866361441
78,Nova Scotia,1,2022,53825,241,1002441.0,898705.0,849216.0,0.896516602972145,0.8471481114599263
79,Nova Scotia,2,2022,106633,441,1007360.0,901462.0,856948.0,0.8948757147395171,0.8506869440914867
80,Nova Scotia,3,2022,125474,541,1019725.0,907253.0,860389.0,0.8897035965578955,0.8437461080193189
81,Nova Scotia,4,2022,131825,628,,909865.0,863894.0,,
82,Nunavut,1,2020,0,0,38720.0,,,,
83,Nunavut,2,2020,0,0,38834.0,,,,
84,Nunavut,3,2020,0,0,39157.0,,,,
85,Nunavut,4,2020,264,1,39254.0,0.0,0.0,0.0,0.0
86,Nunavut,1,2021,395,4,39405.0,13141.0,6857.0,0.33348559827433066,0.1740134500697881
87,Nunavut,2,2021,657,4,39519.0,21050.0,16151.0,0.5326551785217237,0.40868949113084846
88,Nunavut,3,2021,663,4,39711.0,24701.0,21655.0,0.6220190879101508,0.5453149001536098
89,Nunavut,4,2021,695,4,39921.0,30150.0,25173.0,0.7552416021642745,0.6305703764935748
90,Nunavut,1,2022,3441,6,40003.0,32932.0,29419.0,0.8232382571307152,0.7354198435117366
91,Nunavut,2,2022,3506,7,40403.0,33220.0,30427.0,0.8222161720664307,0.7530876420067817
92,Ontario,1,2020,993,0,14686092.0,,,,
93,Ontario,2,2020,34476,2618,14718133.0,,,,
94,Ontario,3,2020,49340,2799,14726022.0,,,,
95,Ontario,4,2020,169411,4258,14721852.0,,,,
96,Ontario,1,2021,340692,7111,14740102.0,1672351.0,309157.0,0.11345586346688781,0.020973871144175257
97,Ontario,2,2021,543917,8858,14773618.0,9864684.0,4169080.0,0.6677229640024536,0.2821976309391511
98,Ontario,3,2021,583275,9422,14809257.0,11191067.0,10464086.0,0.7556805179355048,0.7065908843367361
99,Ontario,4,2021,687336,9857,14901607.0,12114044.0,11352387.0,0.8129354102547464,0.7618230033848027
100,Ontario,1,2022,1151090,12397,14940912.0,12518007.0,12042918.0,0.8378341964667217,0.8060363383440047
101,Ontario,2,2022,1321827,13388,14996014.0,12566850.0,12130628.0,0.8380126879049326,0.8089234912690799
102,Ontario,3,2022,1444227,14312,15109416.0,12644274.0,12176392.0,0.836847301047241,0.8058810479504965
103,Ontario,4,2022,1507773,15016,,12670372.0,12204172.0,,
104,Prince Edward Island,1,2020,13,0,159369.0,,,,
105,Prince Edward Island,2,2020,27,0,160390.0,,,,
106,Prince Edward Island,3,2020,58,0,161305.0,,,,
107,Prince Edward Island,4,2020,94,0,161455.0,1147.0,0.0,0.007104146666253755,0.0
108,Prince Edward Island,1,2021,156,0,161662.0,15297.0,6399.0,0.09462334995236976,0.03958258588907721
109,Prince Edward Island,2,2021,207,0,162866.0,114423.0,28349.0,0.702559159063279,0.17406334041481955
110,Prince Edward Island,3,2021,292,0,164758.0,131514.0,121117.0,0.7982252758591388,0.7351206011240728
111,Prince Edward Island,4,2021,737,0,166435.0,143591.0,134022.0,0.8627452158500315,0.8052512993060353
112,Prince Edward Island,1,2022,24747,17,166858.0,149858.0,143316.0,0.8981169617279363,0.8589099713528869
113,Prince Edward Island,2,2022,40460,45,168358.0,150342.0,144404.0,0.8929899381080793,0.8577198588721653
114,Prince Edward Island,3,2022,51604,60,170688.0,151533.0,145045.0,0.8877776996625422,0.8497668260217472
115,Prince Edward Island,4,2022,53977,74,,151856.0,145396.0,,
116,Quebec,1,2020,2368,44,8559876.0,,,,
117,Quebec,2,2020,48230,5613,8574709.0,,,,
118,Quebec,3,2020,65273,5852,8576595.0,,,,
119,Quebec,4,2020,186322,8255,8578733.0,17216.0,0.0,0.0020068231520901747,0.0
120,Quebec,1,2021,301134,10730,8579010.0,1218798.0,,0.14206744134812757,
121,Quebec,2,2021,369725,11264,8585460.0,5996065.0,2160492.0,0.698397639730428,0.25164545638789304
122,Quebec,3,2021,403084,11372,8602335.0,6655867.0,6348319.0,0.773727947121334,0.737976258771601
123,Quebec,4,2021,547901,11713,8630187.0,7237204.0,6730721.0,0.8385917941291423,0.779904421538027
124,Quebec,1,2022,957155,14560,8637650.0,7375911.0,7135530.0,0.8539256626512999,0.8260962183001164
125,Quebec,2,2022,1089727,15752,8650692.0,7386846.0,7163818.0,0.8539023236522582,0.8281208023589327
126,Quebec,3,2022,1196148,16756,8695659.0,7001338.0,,0.8051532379547082,
127,Quebec,4,2022,1238235,17151,,7012548.0,,,
128,Saskatchewan,1,2020,134,0,1179135.0,,,,
129,Saskatchewan,2,2020,777,13,1179409.0,,,,
130,Saskatchewan,3,2020,1863,24,1178467.0,,,,
131,Saskatchewan,4,2020,14615,134,1177980.0,1783.0,0.0,0.0015136080408835464,0.0
132,Saskatchewan,1,2021,32783,430,1179119.0,134582.0,36299.0,0.11413775878431269,0.030784848687876287
133,Saskatchewan,2,2021,48706,566,1181040.0,709997.0,402730.0,0.6011625347151663,0.34099607125922915
134,Saskatchewan,3,2021,64949,667,1181493.0,805652.0,722744.0,0.6818931639882758,0.6117209327520349
135,Saskatchewan,4,2021,83086,945,1182984.0,925351.0,844535.0,0.7822176800362474,0.7139023012990877
136,Saskatchewan,1,2022,132172,1232,1185311.0,953659.0,902005.0,0.8045643717134153,0.7609859353368019
137,Saskatchewan,2,2022,139661,1427,1188338.0,956978.0,907599.0,0.8053079174443635,0.7637549249455963
138,Saskatchewan,3,2022,144704,1550,1194803.0,964698.0,910408.0,0.8074117657890045,0.7619733127553245
139,Saskatchewan,4,2022,148288,1662,,968768.0,914297.0,,
140,Yukon,1,2020,4,0,41699.0,,,,
141,Yukon,2,2020,11,0,42015.0,,,,
142,Yukon,3,2020,15,0,42163.0,,,,
143,Yukon,4,2020,60,1,42327.0,0.0,0.0,0.0,0.0
144,Yukon,1,2021,73,1,42401.0,23028.0,10760.0,0.5431003985755053,0.25376759982075897
145,Yukon,2,2021,264,4,42719.0,30432.0,26660.0,0.7123762260352536,0.6240782789859313
146,Yukon,3,2021,747,9,43250.0,32699.0,31159.0,0.7560462427745664,0.7204393063583815
147,Yukon,4,2021,1668,14,43373.0,35825.0,32811.0,0.825974684711687,0.7564844488506675
148,Yukon,1,2022,3737,24,43241.0,36538.0,34996.0,0.8449850836012118,0.8093244837075924
149,Yukon,2,2022,4456,26,43518.0,36658.0,35388.0,0.8423640792315823,0.8131807527919481
150,Yukon,3,2022,4891,31,43789.0,36851.0,35517.0,0.8415583822421157,0.811094110393021
151,Yukon,4,2022,4974,32,,37018.0,35664.0,,
